Id,Start,Name,Impact,Currency
5aeea1a8-a3b8-4398-9c30-c5e6dbd1f17c,07/28/2022 12:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
460b01bd-b838-4581-9f5d-b13c5411cbe0,07/28/2022 12:30:00,Personal Consumption Expenditures Prices (QoQ),MEDIUM,USD
c89e4c33-8fe1-4430-a62a-d3435a1fb2d3,07/28/2022 22:00:00,ANZ – Roy Morgan Consumer Confidence,MEDIUM,NZD
af190b84-c428-422b-86bd-a232b1bf78d1,07/28/2022 23:30:00,Jobs / Applicants Ratio,MEDIUM,JPY
cecbff84-1e7b-4bcd-9984-a6a75d90cad1,07/28/2022 23:30:00,Tokyo Consumer Price Index (YoY),MEDIUM,JPY
359a0d51-e3bb-4b8c-9c57-95a9f5251633,07/28/2022 23:30:00,"Tokyo CPI ex Food, Energy (YoY)",MEDIUM,JPY
d17407eb-feea-4418-8954-516cc064df44,07/28/2022 23:30:00,Tokyo CPI ex Fresh Food (YoY),MEDIUM,JPY
a0d39b94-e59a-429a-bfca-a27d303a5ae4,07/28/2022 23:30:00,Unemployment Rate,MEDIUM,JPY
fb2e14de-5f72-46fd-bd42-b9bedf3c3b1a,07/28/2022 23:50:00,Industrial Production (MoM),MEDIUM,JPY
e302d164-dcb5-4099-ba3d-b742b1becdf2,07/28/2022 23:50:00,Industrial Production (YoY),MEDIUM,JPY
991d526e-3e0a-49dc-9d62-7d75271fd3e7,07/28/2022 23:50:00,Large Retailer Sales,MEDIUM,JPY
7720ef0d-b5ad-4e05-aaca-f223fd5665dc,07/28/2022 23:50:00,Retail Trade (YoY),MEDIUM,JPY
b52be874-e12e-411e-bfdf-d3ae7f58e149,07/28/2022 23:50:00,Retail Trade s.a (MoM),MEDIUM,JPY
9479d507-6be7-47a5-8566-e874baed24e4,07/29/2022 05:30:00,Gross Domestic Product (QoQ),MEDIUM,EUR
2aac23b4-9222-467d-87b1-def02400db03,07/29/2022 06:30:00,Real Retail Sales (YoY),MEDIUM,CHF
c8078731-7c82-4def-b5d7-949ecd6e26f9,07/29/2022 07:00:00,KOF Leading Indicator,MEDIUM,CHF
59783cb4-94d0-4c4b-9067-6d766a4a40cc,07/29/2022 07:55:00,Unemployment Change,MEDIUM,EUR
48b7b21a-9ed4-4e7c-9e93-9abf58ebd776,07/29/2022 07:55:00,Unemployment Rate s.a.,MEDIUM,EUR
d53ba7af-404d-431c-90b4-2f19c88764ca,07/29/2022 08:00:00,Gross Domestic Product (QoQ),MEDIUM,EUR
cee141ee-d4b6-4594-94ee-cfa48bb8ccc2,07/29/2022 08:00:00,Gross Domestic Product (YoY),MEDIUM,EUR
b4e7b055-dd05-464b-9325-ac50fb6929fe,07/29/2022 08:00:00,Gross Domestic Product (QoQ),HIGH,EUR
ae4646b3-a806-4169-b78a-9b9f94c6c638,07/29/2022 08:00:00,Gross Domestic Product (YoY),MEDIUM,EUR
7032aa49-b2ab-49c6-82e3-c84c69f12d5a,07/29/2022 08:00:00,Gross Domestic Product w.d.a (YoY),MEDIUM,EUR
218b111e-3e7b-4c4b-9810-5fde47038537,07/29/2022 09:00:00,Gross Domestic Product s.a. (QoQ),HIGH,EUR
001d924e-d35c-4ab0-8e22-bc3db32d74ae,07/29/2022 09:00:00,Gross Domestic Product s.a. (YoY),HIGH,EUR
8cf56134-3c4a-4fb0-8421-f6beb468ffaa,07/29/2022 09:00:00,HICP (YoY),HIGH,EUR
927cde67-3f92-4237-b97c-fee5340e9aa4,07/29/2022 09:00:00,"HICP-X F,E,A,T (YoY)",HIGH,EUR
f65a94f1-6d14-43ca-882b-7a72b01345c2,07/29/2022 12:30:00,Core Personal Consumption Expenditures - Price Index (MoM),MEDIUM,USD
64555ca4-f847-4b82-ab71-3960eab2b660,07/29/2022 12:30:00,Core Personal Consumption Expenditures - Price Index (YoY),MEDIUM,USD
efa57c6d-f28a-425a-897c-acb1bfe1723d,07/29/2022 12:30:00,Personal Income (MoM),MEDIUM,USD
be164ff9-e239-4e0b-95bf-d52a7abd88b9,07/29/2022 12:30:00,Personal Spending,MEDIUM,USD
d7253a43-1fe2-4ed9-a6a3-b06c4ff92d89,07/29/2022 12:30:00,Gross Domestic Product (MoM),MEDIUM,CAD
0d5b46e8-d2f6-4439-9f05-8146ea438bde,07/29/2022 13:45:00,Chicago Purchasing Managers' Index,MEDIUM,USD
5542b26c-2822-4a61-9f76-2cbb3ca11fc0,07/29/2022 14:00:00,Michigan Consumer Sentiment Index,MEDIUM,USD
d34fa668-389a-405a-a000-4d2ebbd95ec2,07/31/2022 01:00:00,NBS Manufacturing PMI,HIGH,CNY
b24f130a-399a-4d0a-8f9b-fbc997c1372d,07/31/2022 01:00:00,Non-Manufacturing PMI,HIGH,CNY
a84504da-3c5c-4d4c-8e0e-768b512d3f37,07/31/2022 22:30:00,AiG Performance of Mfg Index,MEDIUM,AUD
a14e3182-5df4-4af3-a4a8-151a639f6f2e,07/31/2022 22:45:00,Building Permits s.a. (MoM),MEDIUM,NZD
